员工编号,员工姓名,打卡时间,打卡类型,设备编号
E001,张三,2024-01-15 08:55:00,上班,D001
E001,张三,2024-01-15 18:10:00,下班,D001
E002,李四,2024-01-15 09:15:00,上班,D001
E002,李四,2024-01-15 17:45:00,下班,D001
E003,王五,2024-01-15 08:50:00,上班,D002
E003,王五,2024-01-15 18:05:00,下班,D002
E004,赵六,2024-01-15 08:58:00,上班,D001
E005,钱七,2024-01-15 09:02:00,上班,D003
E005,钱七,2024-01-15 18:00:00,下班,D003
E001,张三,2024-01-16 08:58:00,上班,D001
E001,张三,2024-01-16 18:00:00,下班,D001
E002,李四,2024-01-16 08:55:00,上班,D001
E002,李四,2024-01-16 18:30:00,下班,D001
E003,王五,2024-01-16 09:30:00,上班,D002
E003,王五,2024-01-16 18:00:00,下班,D002
E004,赵六,2024-01-16 08:45:00,上班,D001
E004,赵六,2024-01-16 18:15:00,下班,D001
E005,钱七,2024-01-16 09:00:00,上班,D003
E005,钱七,2024-01-16 17:55:00,下班,D003
E001,张三,2024-01-17 09:05:00,上班,D001
E001,张三,2024-01-17 17:50:00,下班,D001
E002,李四,2024-01-17 09:00:00,上班,D001
E002,李四,2024-01-17 18:00:00,下班,D001
E003,王五,2024-01-17 08:59:00,上班,D002
E003,王五,2024-01-17 18:02:00,下班,D002
E004,赵六,2024-01-17 09:00:00,上班,D001
E004,赵六,2024-01-17 18:00:00,下班,D001
E005,钱七,2024-01-17 09:01:00,上班,D003
E005,钱七,2024-01-17 18:01:00,下班,D003
