员工编号,员工姓名,部门,日期,班次开始时间,班次结束时间,休息开始,休息结束
E001,张三,技术部,2024-01-15,09:00,18:00,12:00,13:00
E002,李四,产品部,2024-01-15,09:00,18:00,12:00,13:00
E003,王五,销售部,2024-01-15,09:00,18:00,12:00,13:00
E004,赵六,技术部,2024-01-15,09:00,18:00,12:00,13:00
E005,钱七,行政部,2024-01-15,09:00,18:00,12:00,13:00
E001,张三,技术部,2024-01-16,09:00,18:00,12:00,13:00
E002,李四,产品部,2024-01-16,09:00,18:00,12:00,13:00
E003,王五,销售部,2024-01-16,09:00,18:00,12:00,13:00
E004,赵六,技术部,2024-01-16,09:00,18:00,12:00,13:00
E005,钱七,行政部,2024-01-16,09:00,18:00,12:00,13:00
E001,张三,技术部,2024-01-17,09:00,18:00,12:00,13:00
E002,李四,产品部,2024-01-17,09:00,18:00,12:00,13:00
E003,王五,销售部,2024-01-17,09:00,18:00,12:00,13:00
E004,赵六,技术部,2024-01-17,09:00,18:00,12:00,13:00
E005,钱七,行政部,2024-01-17,09:00,18:00,12:00,13:00
